代码,证券简称,相关资料, 融资余额(元) ,融券余额(元),融资买入额(元),融资偿还额(元),融资净买额(元),融券余量,融券卖出量,融券偿还量,融资融券余额(元)
600637,东方明珠,详细 数据 资金流, 13.50 亿 ,469.96 万,5165.83 万,4936.18 万,229.65 万,23.42 万,2.06 万,7300,13.54 亿
600664,哈药股份,详细 数据 资金流, 4.87 亿 ,2.69 万,1884.49 万,1655.59 万,228.90 万,4900,0,9900,4.87 亿
600251,冠农股份,详细 数据 资金流, 3.36 亿 ,101.53 万,2804.86 万,2582.20 万,222.66 万,14.16 万,4.16 万,0,3.37 亿
600597,光明乳业,详细 数据 资金流, 5.97 亿 ,2.40 万,618.84 万,404.21 万,214.63 万,2000,0,1.17 万,5.97 亿
600875,东方电气,详细 数据 资金流, 8.52 亿 ,118.66 万,2485.48 万,2274.24 万,211.24 万,12.49 万,3000,2.27 万,8.53 亿
601038,一拖股份,详细 数据 资金流, 2.72 亿 ,376,2399.77 万,2198.63 万,201.13 万,41,0,6.29 万,2.72 亿
600515,海航基础,详细 数据 资金流, 3.93 亿 ,89.34 万,539.50 万,340.45 万,199.05 万,9.22 万,9.20 万,1200,3.94 亿
510880,红利ETF,详细数据 资金流, 1367.68 万 ,15.71 万,234.26 万,42.61 万,191.65 万,5.28 万,0,0,1383.39 万
600256,广汇能源,详细 数据 资金流, 9.98 亿 ,340.02 万,3686.87 万,3495.27 万,191.60 万,82.33 万,2000,1500,10.01 亿
600790,轻纺城,详细 数据 资金流, 4.26 亿 ,0,1225.63 万,1034.89 万,190.74 万,0,0,0,4.26 亿
603001,奥康国际,详细 数据 资金流, 1.34 亿 ,35.87 万,744.78 万,556.51 万,188.27 万,1.98 万,0,100,1.34 亿
600626,申达股份,详细 数据 资金流, 6.59 亿 ,22.08 万,2379.17 万,2202.47 万,176.70 万,2.44 万,2.44 万,6300,6.59 亿
600612,老凤祥,详细 数据 资金流, 7315.50 万 ,0,622.84 万,460.50 万,162.33 万,0,0,0,7315.50 万
600320,振华重工,详细 数据 资金流, 3.34 亿 ,113.30 万,1645.81 万,1484.68 万,161.13 万,22.00 万,10.00 万,0,3.35 亿
600388,龙净环保,详细 数据 资金流, 10.68 亿 ,161.17 万,6017.47 万,5883.38 万,134.08 万,11.34 万,8.83 万,0,10.70 亿
600027,华电国际,详细 数据 资金流, 3.76 亿 ,35.10 万,1828.61 万,1699.43 万,129.19 万,7.58 万,4.15 万,0,3.76 亿
600802,福建水泥,详细 数据 资金流, 3.74 亿 ,242.07 万,3213.93 万,3085.66 万,128.27 万,26.54 万,10.25 万,9.95 万,3.77 亿
600565,迪马股份,详细 数据 资金流, 1646.36 万 ,0,862.04 万,741.56 万,120.48 万,0,0,0,1646.36 万
600509,天富能源,详细 数据 资金流, 4.35 亿 ,0,2778.46 万,2660.71 万,117.75 万,0,0,0,4.35 亿
510500,500ETF,详细数据 资金流, 4.78 亿 ,7.62 亿,1409.93 万,1296.17 万,113.76 万,1.23 亿,79.02 万,124.49 万,12.40 亿
600748,上实发展,详细 数据 资金流, 5.95 亿 ,6.04 万,2338.38 万,2229.58 万,108.79 万,8730,8400,1.49 万,5.95 亿
600218,全柴动力,详细 数据 资金流, 7.05 亿 ,6034,1292.43 万,1183.98 万,108.45 万,700,0,200,7.05 亿
600588,用友网络,详细 数据 资金流, 15.54 亿 ,814.28 万,2281.97 万,2175.66 万,106.31 万,51.90 万,9.41 万,6.08 万,15.62 亿
600259,广晟有色,详细 数据 资金流, 7.91 亿 ,344.85 万,1.46 亿,1.45 亿,103.58 万,7.50 万,3.02 万,1.50 万,7.94 亿
600660,福耀玻璃,详细 数据 资金流, 10.17 亿 ,283.51 万,4837.97 万,4737.62 万,100.35 万,11.73 万,2700,6200,10.20 亿
601098,中南传媒,详细 数据 资金流, 3.08 亿 ,33.45 万,586.91 万,486.75 万,100.16 万,1.91 万,5800,2.50 万,3.08 亿
600742,一汽富维,详细 数据 资金流, 6.76 亿 ,0,2563.22 万,2468.75 万,94.46 万,0,0,0,6.76 亿
600007,中国国贸,详细 数据 资金流, 5.94 亿 ,46.11 万,416.13 万,326.99 万,89.14 万,2.33 万,2900,5000,5.94 亿
600686,金龙汽车,详细 数据 资金流, 1.96 亿 ,49.84 万,595.33 万,512.50 万,82.83 万,4.16 万,2800,6300,1.97 亿
600151,航天机电,详细 数据 资金流, 3.65 亿 ,1.41 万,1730.88 万,1653.57 万,77.30 万,1900,400,0,3.65 亿
512900,证券基金,详细数据 资金流, 99.83 万 ,0,124.41 万,47.47 万,76.94 万,0,0,0,99.83 万
600183,生益科技,详细 数据 资金流, 7.29 亿 ,90.23 万,8496.40 万,8419.68 万,76.72 万,7.00 万,0,0,7.29 亿
601899,紫金矿业,详细 数据 资金流, 10.84 亿 ,225.54 万,7480.21 万,7411.98 万,68.23 万,63.00 万,26.22 万,25.00 万,10.86 亿
600085,同仁堂,详细 数据 资金流, 5.53 亿 ,424.48 万,6234.82 万,6176.73 万,58.09 万,12.94 万,1.98 万,400,5.57 亿
600789,鲁抗医药,详细 数据 资金流, 4.81 亿 ,97.56 万,1754.37 万,1699.17 万,55.20 万,13.06 万,0,0,4.82 亿
600522,中天科技,详细 数据 资金流, 17.59 亿 ,24.61 万,1.01 亿,1.01 亿,50.94 万,2.25 万,2.24 万,0,17.59 亿
600863,内蒙华电,详细 数据 资金流, 5.31 亿 ,84.06 万,3082.05 万,3031.11 万,50.94 万,27.56 万,26.95 万,200,5.32 亿
600109,国金证券,详细 数据 资金流, 22.69 亿 ,338.24 万,8708.66 万,8658.32 万,50.34 万,30.86 万,11.56 万,13.12 万,22.73 亿
600881,亚泰集团,详细 数据 资金流, 7.99 亿 ,0,1924.10 万,1877.25 万,46.85 万,0,0,0,7.99 亿
600260,凯乐科技,详细 数据 资金流, 19.94 亿 ,277.86 万,7101.07 万,7061.82 万,39.25 万,10.77 万,9.74 万,4.90 万,19.96 亿
600684,珠江实业,详细 数据 资金流, 6.15 亿 ,36.27 万,4014.99 万,3990.63 万,24.36 万,4.50 万,0,9.00 万,6.15 亿
510160,小康ETF,详细数据 资金流, 41.38 万 ,0,45.08 万,23.88 万,21.20 万,0,0,0,41.38 万
600285,羚锐制药,详细 数据 资金流, 3.49 亿 ,0,1428.74 万,1411.22 万,17.52 万,0,0,1.70 万,3.49 亿
601238,广汽集团,详细 数据 资金流, 10.14 亿 ,1390.74 万,3799.01 万,3782.55 万,16.45 万,53.43 万,4100,5300,10.28 亿
600366,宁波韵升,详细 数据 资金流, 7.15 亿 ,19.38 万,4484.43 万,4469.36 万,15.07 万,1.10 万,1.08 万,2.89 万,7.15 亿
600677,航天通信,详细 数据 资金流, 4.59 亿 ,0,3167.01 万,3156.06 万,10.95 万,0,0,0,4.59 亿
600017,日照港,详细 数据 资金流, 7.30 亿 ,9156,3531.90 万,3524.66 万,7.24 万,2100,1000,0,7.30 亿
512500,中证500,详细数据 资金流, 252.69 万 ,0,6.84 万,1.21 万,5.63 万,0,0,0,252.69 万
